,lower_fence,Q1,Q2,Q3,upper_fence
다방/커피숍/카페,0,3252624,7505698,15909550,34894938
별식/퓨전요리,0,5770587,12058130,23826346,50909984
분식,0,3471252,8711467,19694451,44029251
뷔페,0,6552622,15851043,36195659,80660215
생활서비스,0,2922138,4186328,6760663,12518452
소매,0,7382320,27178602,47733778,108260966
수산물,0,8455953,18101518,36318652,78112701
양식,0,6093858,13859828,28725833,62673795
유흥주점,0,3687630,9033762,19227524,42537365
음식-미분류,0,2237639,6398832,17318475,39939730
일식,0,8029402,16006683,30874311,65141675
제과제빵떡케익,0,3178903,9812952,29231947,68311513
중식,0,7359411,17865797,36184657,79422526
패스트푸드,0,5233673,12564552,27443949,60759363
한식,0,5727531,14123414,30392434,67389789
